rhyme scheme	stanza
ABBCDCD	"Og våren er forlengst begynt
engang i januar.
I vinjene går folk og spar
og klipper druestokken fri
for tørre kvister fra ifjor,
så ikke den skal hindres i
på ny å vokse vid og stor!"
AABBCC	"Med varsom omhu, kjærlighet,
må vinen pleies, som man vet,
fra stokken står i sten og jord
til flasken gløder på vårt bord!
Men selve byen lever av
det rike Middelhav."
ABAB	"Er været godt, så er man på'n
om morran klokka fem.
Men ellers snur man litt på skrå'n
og vender nesa hjem."
AABBCBC	"Mistralen er en solskinnsvind,
men Gud, hvor vilt den styrter inn
fra åpne havet her!
Når sprøyten står om rev og skjær,
da tar man det med ro.
For fisken blir nok der den er
en måned eller to"
ABAB	"Som oftest er man fullt i sving
fra tidlig av på byens strand.
Det går som lek og ingenting
å lage alt i stand."
AABB	"Og skøytene de tøffer ut
med motordur og bølgesprut
og setter garn for sildestimen
i solgull-timen!"
AABB	"Mens lyset glitrer over hav
går silden i sin massegrav
og henger der og glitrer selv
med sølv i milliarder skjell."
AABCBCDD	"Og byens liv det går sin gang.
Men formiddagen føles lang
for gamle folk. De rusler hen
på moloen og speider ut
og tenker på da de var menn
som stevnet inn for vindspent klut!
Montro hva fangsten blir idag
for sønnens fiskerlag?"
ABCADD	"I kimingen det første seil —:
Hun der er sikkert nok «l'Amour» !
Og kikkerten går rundt på tur:
Nei, gamlingen tok ikke feil:
Snart stryker hele flåten inn
i formiddagens pålandsvind."
ABAB	"I vikens gap slås motorn på,
og skøyten styres rett på land,
for stranden er så jevn og skrå
med dyp og florfin sand."
AABB	"I samme nå er fisken øst
i kurvene og dekket pøst
og båten halt på land
av cirka femten mann!"
ABBCAC	"Så stimler byens koner til,
og snart er hele kjerring-hurven
forsamlet rundt om fiskekurven
og skyllet, veid og lagt i is
blir dagens fine, blanke sild
kjørt bort i vogner kassevis."
ABBCAC	"Og alt er sang og spøk og spill!
Selv stedets gamle, trinne pater
går smilende omkring og prater
med sine flinke sognebørn,
som varmer seg i solens ild
på stranden etter dagens tørn."
AABCCB	"Et sydens fiske: nesten lek
med latter, skrik og mye prek.
Så er den også lett og fin
en munter liten lekkerbisk
og ingen alvorsfisk
den lille sølvsardin!"
ABCDCD	"og han hørte der i elvesuset
hallingslåtten fra det dype vell.
Fossegrimen sine strenger rørte,
Skummet sprang og hvirvlet rundt dertil.
Ingen uten møllergutten hørte
hvordan elva gikk med strengespill."
ABAB	"Og han kunde siden med sin bue
stryke fossegrimens dans.
Aldri før i hytte og på tue
var det hørt så gjævt et spill som hans."
ABAB	"Aldri gikk det over golv og enger
sådan halling, som når han gav klang;
men han har vel g med sine strenger
gjort det stilt i laget mang en gang."
ABAB	"Og det kom det som han aldri drømte,
skjønt han gikk så tankefull,
brev og bud til ham fra den berømte,
vidt bereiste mester Ole Bull."
ABAB	"Han som torde selv ved kongetroner
la en slått henover strengen gå,
glemte ikke at dens beste toner
lød på fjellet i en hyttevrå."
ABAB	"Og da lot han møllargutten bytte
denne hytte med en hall
der vel mer enn tusen kunde lytte
til de underbare toners fall."
ABAB	"Møllargutten satt som når man stirrer
bøyd utover elvedypets prakt,
som om brua som man står på, dirrer,
sådan rystet sætet ved hans takt."
ABAB	"Men hans spill var og som fossefallet
som i strie hvirvler går,
og ved spillet ble hver tanke kallet
dit hvor fossegrimen harpen slår;"
ABAB	"kallet fjernt hen til de grønne daler
som har kilder fra et snødekt fjell,
der vår kunst i toner som i tale
alltid finne kan sitt friske vell."
ABBACCA	"For Jetros gjest gikk dag for dag —
forvisst han tellet ei hvor mange,
hver var som fylt av sol og sange
i sorgløs ro, i frenders lag.
Den fremmede ble alles venn,
og nød blandt ørknens frie menn
sin frihet selv i fulle drag."
ABAB	"Her fantes intet hofflivs byrder,
her hykler ei med hykler stred
her mellom ørknens simple hyrder
var dagen drøm og natten fred."
ABCABCDEDE	"Her var ei stengsel for hans fot —
hvor helst han lystet fant han vei,
og i naturens stille velde
for sjel og sinn var helsebot.
Han streifet om på mark og hei,
snart klatret han i Horebs fjelle,
i ville klippers høie saler —
snart drømte han ved havets strand,
snart fant han i de dype daler
en svaledrikk for tankens brann."
AABBCCDEED	"Og så ved kveld, når dagen skumret,
når hav og fjell og himmel slumret,
og livets bølger falt til ro,
da satt i teltets lave bo
ved lampens skinn den sjeldne gjest
og skiftet ord med ørknens prest.
Her fant de to i stille stunder
så ofte ord for hjertets stemme,
her kunde de så tidt fornemme
i spredte stråler livets under."
ABABCC	"Og tiden gikk. I Midians land
egypteren la år til år.
Vel dempet tiden hjertets brann,
dog blødde der et lønnlig sår
i sjelens bunn. Sin ungdoms sang
han vanskelig til taushet tvang."
ABCCDD	"Men ingen røst fra Israels Gud
til strid og dåd ham kalte ut,
og matt kun brente alterflammen.
Den stolte ørn la vingen sammen
og løste opp for kallets byrde —
blandt hyrder ble han selv en hyrde."
AABB	"— Og hvorfor ikke gripe fatt
sin lille skjerv av lykkens skatt
å glemme i en kvinnes favn
sin brustne drøm, sitt hjertes savn."
AABB	"Så ble han husbond, mann og far.
Med nøisomhet han daglig bar
nomadens fordringsløse kår,
og voktet gjeter, kveg og får."
AABCCB	"Men brente i den lange natt
Guds alterild kun blek og matt,
den ulmet dog i hjertets dyp
og kunde aldri, aldri slukkes
en ørn, om den enn lenkes, plukkes,
blir aldri dog et jordens kryp."
ABBACDECED	"Tross slektskap, hustru, hjem og sønner
ble Moses dog i Midians land
i alle år en fremmed mann.
Hans tanker, lengsler, som hans bønner
var viet hans betrengte frender.
Ti var han ikke selv bestemt
til folkets redder ut fra nøden,
så visste han, at Herrens hender
dog vilde frelse det fra døden  —
av ham var folket ei forglemt."
AABBACDCD	"Den sæd som av en kjærlig mor
ble sådd i barnehjertets jord,
som næret ble ved savn og sange,
har spiret i de år så lange.
Den livets sæd var løftets ord
til fedrene fra fordums dage
det ord fra Herrens egen munn,
som bar dem gjennom nød og plage
og gav dem mot i farens stund —"
AABCBCDDEE	"Det hadde vært den sikre klippe
som bar når allting vilde glippe.
Og under hverdagslivets kår
blandt Midians hyrder, kveg og svenne,
i ensomhetens lange år,
som syntes uten mål og ende,
det satte rot og blomst og frukt.
Og under Herrens vise tukt
den spede blomst, det veke strå
seg ranket opp mot himlens blå."
TAAA	"MIDT I BYEN
Lenge, altfor lenge var mitt hjerte uten sang.
Men nå bor jeg midt i byen som jeg gjorde før engang,
og mitt hjerte svinger frydefullt ved posthusklokkens klang!"
AAA	"Midt i byen, under taket på en gård av jernbetong.
Fjerne åser, trær og trehus kan jeg vinke til: So long!
Landlig fred er bra for mange. Salig hver på sin fasong."
AAA	"Her på loftet kan jeg høre byens stemme dag og natt:
bilers brøl og trikkers hvin og unge kvinners lyse skratt.
Godt for mennesket å kjenne at han ikke er forlatt."
AAA	"Byen, alltid byen, til jeg engang slukner brått
som en svart elektrisk lampe når dens glødetråd er gått.
Får jeg lyse litt i byen, så dens sinn blir mindre grått?"
TABCB	"GARTNERLØKKA
Der lå en pjokk og lukte
i turnipsåkerns gress.
Han hadde ingen lue
og ikke noen dress."
ABCB	"Han hadde bare bukser,
og de var lyseblå.
Og denne enden var det
som solen skinte på."
ABCB	"Han lå på alle fire
med fjeset vendt mot jord,
for det var flust med ukrutt,
og åkern var så stor."
ABCB	"Og den må slite orntli
som driver på akkord
og har som mål i livet
å kjøpe seg en Ford!"
ABCB	"Han hadde bare bukser
med hyssingseler til.
Og ryggen var som kobber
med glans fra solens ild."
ABCB	"Han løftet undertiden
en liten jordsvart hånd,
strøk håret vekk fra pannen
fordi det klødde sånn."
ABCB	"Men det var midt på dagen,
og solen strålte hett.
Og åkern var så diger.
Og pjokken var så trett."
ABBB	"Han gjespet langt og lenge
og sovnet slik han lå.
Og solen skinner vennlig på
en ende, lyseblå!"
TABACDCE	"VINGARDEN
Som et grettent barn, der vraker
allting annet, når det nektes
de forlangte lekesaker,
sådan ligger på sitt leie
Israels konge sur og tverr
ingen tør med trøst og pleie
komme kongens kammer nær."
ABACA	"Gjemt bak sengens draperier
nekter han seg vin og mat.
Ingen kåte melodier,
intet yppig morgenbad
kongens mørke sjel befrier."
ABAB	"Dronningen med lette trinn
hen til kongens leie treder:
«Si, hva piner slik ditt sinn?
Kom dog ut til dagens gleder."
ABAB	"Kongen blott sitt ansikt vender
inn mot veggen, mørk som før.
«Kjære venn, din panne brenner,
visst jeg håper ei du dør."
AABACDDC	"Hvilken grunn har du til klage?
Har du ikke gode dage?
Blomstrer ikke landet smukt?
Ble du ei i syrerslaget
som ditt folks befrier feiret?
Ut av landet fikk du jaget
syrerkongen, som oss plaget.
Var det ikke så? Du seiret"
ABBACDD	"Jo, jeg seiret over ham.
Benhadad jeg ikke frykter,
heller ikke onde rykter.
Men du vet ei hvilken skam
jeg må tåle.»
«Tal min kjære
Si hva bittert du må bære.»"
ABBACDCDEAEA	"«Hør, du kjenner Nabots have?
Denne park med rankers rekker,
som seg helt til slottet strekker
og du kjenner denne brave,
fromme mann.  Jeg bad ham selge
meg sin vingård  bød ham gull,
eller, om han ville velge
seg en annen. Men omkull
brøt han mine planer brått.
Intet gull og ingen gave,
ei engang et fyrsteslott,
kan erstatte ham hans have."
ABAB	"Og hvor bittert det enn er,
må jeg dog hans grunner hedre:
haven, som han har så kjær,
arvet han fra sine fedre.»"
ABABBCDCEECD	"«Reis deg, konge! Eller hva?
Er du ikke konge lenger?!
Reis deg! Et og drikk, vær glad.
Nabots druer modne henger.
Vet du hva en konge trenger
for å få sin attrå stillet?
Har han kun en smule mot
og litt kløkt og plan i spillet,
så er lykken huld og god
selv om og en smule blod
skulle krydre seiersgildet.»
Dronning Jesabel har mot. "
AABBCDDCE	"Hennes plan forlengst er ferdig,
og i sannhet, den er verdig
Baals prestinne, Sidons datter:
Brever, som hun selv forfatter,
men med segl fra kongens ring,
sender hun med raskest svenn
rundt til stadens embedsmenn 
«Gi tilkjenne vidt omkring,
og så godt, som best dere kan det"
ABCCB	"En har Gud og kongen bannet;
og dere vet, for sådan brøde
skal der bøtes. Og den mann
som har syndet, skal på stand
stenes, uten dom, til døde."
ABBA	"Så en gammel lov bestemmer,
av Jehova selv forkynt.
— Lovens gull er gangbar mynt,
ve oss, om vi det forglemmer."
ABAB	"Denne gang er saken klar,
synderen er kjent og funnen,
det er Nabot  åpenbar
blir hans skyld, nå straks på stunden."
AABCBBDD	"Rådet samles. Før ham hen
fremst blandt stadens kårne menn;
søk så ut fra hans distrikt
tvende menn som ei besværes
av samvittighet og slikt,
lær dem nøye deres plikt,
hedre dem, og lønn dem vel 
resten følger av seg selv.»"
AABCBC	"Dronningens befaling skjer.
Hvem vil nekte når hun ber? 
Vel er rådets menn å finne
der hvor rett har vakt og feste;
men de er ei heller blinde
når det gjelder eget beste."
AABB	"Altfor megen stivhet skader, 
kongen er jo landets fader,
hensyn krever også tiden. 
Saken ordner seg nok siden."
AABCBCDDEFFGEG	"mellom hoffets danserinner
Jesabel sin husbond finner,
mørk og tung i hu som før.
«Nå, min venn! Jeg tror forvisst
jeg kan lette ditt humør:
Med en smule kvinnelist
har jeg det i orden bragt,
som ei du med kongemakt,
ei med gull og løfter klaret.
Opp min venn! Besøk din have
Ta den som din dronnings gave,
uten skrupler, uten snakk.
Nabot? Han er vel forvaret.
Har jeg så ei tjent en takk.»"
ABBC	"Grenseløs er Achabs glede.
Nabots vingård er hans eie!
Den kan ingen skatt opveie,
ei hans hele kongesete."
AABCBC	"Ør av lykke han beskuer
havens prakt og havens druer:
Jesabel har megen ære
av sitt smukke, kloke verk. 
Kvinnen kan i sannhet være
snar, opfinnsom, slu og sterk."
ABABBCC	"Nabot, han var alltid stiv,
og han lot seg aldri blende
av vårt glade, frie liv.
Dronningen fikk aldri vende
Nabots sinn, — han trosset henne.
Men å drepe ham? — Ja, jeg
vovet ikke denne vei."
AABBCDDC	"Vel, hun har et skinn av rett,
Nabot, han har handlet slett,
holdt seg hård mot kongens ord;
men allikevel jeg tror
vi bør ta oss litt i akt;
lett det hele kunde briste ;
ti dessverre, i det siste
svunnet er vår gamle makt."
AABCB	"Og hvem vet  han kunde komme,
hevneren, med sine domme.
Riktignok han lot seg skremme;
men jeg er dog aldri sikker. 
Før vi vet det, kan hans stemme"
ABABCC	"Nei — jeg lar meg ei bedrage
for min vinning, for min lykke;
slike griller vil jeg jage,
de skal ei mitt sinn få trykke
Jeg er kongel Ingen kryster
Og jeg gjør som selv jeg lyster."
AABCDCEEFFGG	"Achab farer opp  — der kommer
gjennom haven jo hans dommer!
Blek av redsel skriker han:
«Har, min fiende, du meg funnet
også her»
i din vellysts trældom bundet.
Hvilken skjensel har du øvet,
myrdet først og siden røvet,
er vel det en konges kall?
Du har bragt ditt folk til fall,
solgt deg selv til ondskaps id,
derfor  naær er straffens tid."
AABCC	"Ingen bot din synd kan sone.
Ned fra landets kongetrone
er du styrtet  og din slekt
som for din skyld er forbannet,
snart skal jages ut av landet."
ABACDED	"Og hvor hundene fikk slikke
Nabots blod, på samme sted
også ditt de snart skal drikke.
Og hvor Jesabel lot skjende
Herrens tjener, Herrens pakt,
samme lodd skal ramme henne.
Så har himlens herre sagt."
ABCB	"Med disse ord var Achabs mot
for alltid brutt.
For sine synders skyld han stod
i skam og angst forskutt."
ABAB	"Profeten gikk
for siste gang,
mens kongens blikk
i redsel ved ham hang."
ABAB	"Kong Achab så i denne stund
at tapt var alt
at nå fra Herrens munn
det siste ord var falt."
ABBCACDEC	"Og Achab brøt sin kongestav
hva var vel nå hans makt,
og purpurkåpens prakt?
Han sønderrev den,
tok den av,
og la om lend
den grove sekk 
et sorgens syn
for frende og for venn."
ABCDC	"Ei kronens gull,
men angrens aske grå
var nå hans hodes pryd:
og dagens sang
kun bitre klagers lyd."
ABBA	"Og Nabots vakre have
for ham lå
så trist og grå
med lukt av lik og grave."
AABCBDEFEFGH	"«Min hustrus verk? Ja vel.
Men jeg var hennes trell.
For hennes gunst å vinne,
som var meg alt på jord,
jeg lot meg binde
For hennes skyld
jeg trosset Gud
og rev hans altre ned,
og håne lot Jehovas bud
om hjertet skalv derved.
Nå er det intet mer. 
Kun hevnens dag er nær."
ABAB	"Århanen buldrer sent og tidlig,
verden renner av toner full.
Måltrostens strupe går som en fil i
hele berg av sølv og gull!"
ABAB	"Knapt kan vi skjelne kveld fra morgen,
natt og dag er som vingeslag.
Høyt over jorden bruser våren
fulgt av det levendes ville jag."
ABAB	"natt etter natt kommer terneflokker,
skjær etter skjær blir hvitt av fugl.
Det skriker, hvisker, hviner og lokker,
det flagrer og flimrer i livets hjul!"
ABAB	"Jeg hører enkelte fugleskrik
hele den lyse natt;
jeg blunder og drømmer det stormer slik
at sjøen får redene fatt."
ABCB	"Men bare en sakte nordenvindsbris
har lirket litt ved en hasp,
forsvinner og vokser atter blidt
som sus i en veldig asp."
ABAB	"Nok til at åpne mitt øye vidt.
Jeg tenker på tusen ting:
liv som lever i angst for sitt
og døden som går omkring."
ABAB	"Denne dag var uten plett
helt fra morgenrøden,
dog med noe i sin let
mest i slekt med døden."
ABAB	"Dette blakke, hvite vann
uten sjø og vinde
syntes over all forstand
blindt og uten minne."
ABAB	"Tjømebåe brøt såvidt
igjen med største møye. . .
Jeg ble var jeg vugget midt
i evighetens øye."
ABAB	"Her sprang vi som småbørn på sandet
etter havet som vokste og vek;
og vi smilte vellystig når vannet
grep våre ben som i lek."
ABAB	"kvinnene borte ved brønnen
sang over vasken og lo;
men støyen ble hengende urørt
i den skinnende evighetsro."
TABABAB	"JEG VIllE SÅ GJERNE
Jeg ville så gjerne med venner på jord
i dagenes rolige lyst være sammen;
jeg er jo den gamle, i lyset jeg bor
og kjenner meg fæstet som grenen til stammen
og kjenner hvert blad som en talende bror
og føyer til kveldshimlens purpur mitt amen."
ABAB	"Jeg elsker dette mørke med alt det har av glans
som dagen ikke ser eller fatter,
det magiske strålespill til avgrunnens dans
og stjernedypets uhørte skatter."
ABCB	"Men derfor står jeg dobbelt tilbedende og stum,
når dagen rinner opp i sin velde
og fyller med sin strålende visshet alle rom
og kroner med sin seir alle fjelle."
ABAB	"Vær hilset av hjertet du himmelske gry
som kommer med dag over havet.
Hver tåke er forsvunnet, hver bølge er ny,
hva er der vel nå som er begravet?"
ABAB	"Kun det som var skygge og flyktende skinn,
la fare, la fare mitt hjerte!
Du kjenner jo når livet i sin fylle strømmer inn,
du eier det jo i din smerte..."
ABAB	"Men la meg ikke glemme at ennu er det natt,
jeg har tusene ting å fortelle
om det som de tankeløse mennesker har forlatt
for bare under dagen å trelle."
ABAB	"Jeg falt for en fristelse, jeg vet knapt hvordan,
det var som en tåredal blinket
etsteds langt tilbake i fortidens land,
hvor jeg selv stod som smågutt og vinket."
ABAB	"Over Kongskollen måtte jeg dvele en stund,
jeg elsker jo dens himmelrunde hette,
så svang jeg meg tvers over lysende sund
og landet på Kvistrandens slette . . ."
ABAB	"Der bodde en drøm fra min tidligste vår
om fred for all kvide på jorden,
en lengsel mot alt det som svinner og forgår
som et månelys går ut over fjorden."
ABAB	"Og skjønt natten var så dagklar at duggen lå som glass,
og hvert gresstrå kastet skygge på bunnen
så fant jeg dog min drøm på den gammelkjente plass
mellom furuene ytterst i lunden..."
ABAB	"Den stod der som en støtte og stirret samme vei
i samme gamle ordløse kvide.
Det slog meg som en undring at det engang var meg
som i timevis stod her ved dens side."
ABAB	"Venter du ennu på at underet skal skje
og fullmånen aldri mere lyse,
og aldri mere du med din verden av ve
stå her i vinden og fryse?"
ABAB	"Jeg vet nå at du venter forgjeves min venn,
for døden er også kun en skygge
som skyen i vår tanke på sin flukt kaster hen
over bølgeslaget inn mot en brygge."
AABCCD	"Når til meg den onde frister
falsk og full av løgn seg lister
for å føre meg i fall —
hjelp, å hjelp meg, Frelser kjære,
sverd å bruke, skjold å bære,
så jeg ikke segne skal."
AABCCB	"I verdens ørk, i golde støv,
går Adamsætten stum og døv
og blind for livets strømme.
Fra himlen lyder Herrens ord
om lys og liv på dunkle jord;
men verden går i drømme."
TABCB	"I ØRKENEN
Fra nå av må David ferdes
fredløs i dager og år.
Hans fot er trett, og hans hjerte
får mange og dype sår."
ABCB	"Hans hjem er bjergenes huler,
rovdyrs og røveres bo —
Hver dag bringer nye farer,
og natten har ingen ro."
ABCB	"Men Herren er hos ham i nøden,
hans trøster i savn og sorg.
Når menneskehender svikter,
er Israels Gud hans borg."
ABCB	"Når trengslenes vande syder,
han tørrer tårene av
ja selv i dødsskyggens daler
er Herren hans hjelp og stav."
ABCB	"Vel klager det trette hjerte
i mismot så mangen gang,
ti tiden så langsomt skrider,
og dyster blir strengenes klang."
ABCB	"Dog føles i største vånde
sterkest den reddende hånd
når alle dører er lukket
tidt løstes den fangnes bånd."
ABCB	"Slik lytter i ørkenens farer
lammet til hyrdens røst,
slik finner ved hvilens vande
den mødige hjort sin trøst."
ABCB	"Og stjernene tindrer og lyser
om natten er mørk og lang.
Så lærer David å synge
i sorgen sin sterkeste sang:"
ABCB	"«Hvor lenge, o Gud, hvor lenge?
Min sjel er så syk og trett.
Hvor lenge skal voldsmannen juble
og røve den fattiges rett?"
ABCB	"Hvor lenge skal dypet rase
og dåren drive sitt spill?
Hvor lenge, o Gud, hvor lenge?
Du lukker ditt øre til."
ABCB	"De onde har makten i landet,
de hater rettferdighets lov.
Min fiendes anslag er mange,
han lurer i lønn på sitt rov."
ABCB	"Hans tunges tale er falskhet,
gift er hans øies smil.
Han spenner i mørket sin bue
og skyter i skjul sin pil."
ABCB	"Mitt hjerte roper til Herren,
den hungrige tigger om brød.
For Gud jeg gir luft for min kummer
og klager min bitre nød."
ABCB	"Min sjel og mitt kjød forsmekter
i ørkenens brennende sand.
Jeg sier: min Gud er min tilflukt,
min del i de levendes land."
ABCB	"De gudløse larmer i hovmod,
i staden er vold og kiv.
De onde omringer mitt leie,
og voldsmenn søker mitt liv."
ABCB	"O hadde jeg vinger som duen,
jeg fant vel en fredet havn.
Løs meg, o Gud, ved din styrke
og frels min sjel ved ditt navn.»"
ABCB	"Og Herren ser til sin tjener
og hører hans klagerøst.
Han dekker hans bord i ørknen,
og bringer hans hjerte trøst."
ABCB	"Og David kan prise Herren
og synge ved gry og kveld,
ti trofast er Gud, og nådig,
og alle ting gjør han vel."
ABCDDC	"De grove røster, som i evig trette
med vind og havsus lå, er blitt stumme.
Allting er taushed bak de høye diker,
bekledt med gresstorv og med nakne tjørne.
Man hører kun imot et vindbart hjørne
den gamle nordenvind om natten skriker."
ABBA	"Da reiser stundom seg de eldste døde,
som fordum mest av år og visdom bar;
og under månen, som står hvit og klar,
de varsomt går hverandres grav imøde"
ABBA	"og taler sammen uten mange ord:
En kald nordvest, jeg hører fjorden fryser!
Så er det vintermånen vel som lyser.
Ja, det er godt at være støv og jord."
TABCCBA	"GRANADA
Jeg møtte vårens engel i Granada.
Og godt det er å minnes hva som skjedde,
når høsten kommer, dagene blir sorte.
Jeg fikk en gave. Så var synet borte.
Og palmer suste, epleblomster snedde,
og breen skinte i det blå Nevada."
ABBAC	"Ved elvebredden drysset blomstersneen
fra epletrærnes skoger over vannet,
så elven fløt så hvit igjennom landet,
som om den ennu bar på sne fra breen
høyt oppe i det fjerne, blå Nevada."
ABCCBA	"Langs veien løftet palme etter palme
på sine høye kroners kapiteler
den blanke himmelhvelvings solblå buer.
1 havet blusset liljers gule luer
som offerlys, og alle blomstersjeler
sprang ut og glødet under vårens salme."
ABCCBA	"En liten jente danset under trærne
med begge hender fulle av violer
som raktes meg, så jeg fikk lukte på dem
og siden lo hun at jeg kunde få dem.
Og under luggen strålte to små soler
i giverglede, der hun stod på tærne."
ABCCBA	"Jeg tok om hennes lille runde hake
og ønsket henne lang og gyllen sommer
når engang blomstersneens dage ender.
Nå bærer du en vår i dine hender
og gir den glad til hvemsomhelst som kommer.
Må livet gi deg tusenfold tilbake."
ABCDBC	"Ja mens vinden derute
suser sin sang:
Gå til ro, gå til ro alle trær, alle mennesker!
og regnet i rommet
vandrer sin gang
er det dypest i meg som et brannsår man rensker!"
ABCABC	"Og smertene luer
mot himlen igjen
så natten blir klarere ennå enn dagen.
Og vindstøtet truer
brannskjæret hen
imot avgrunnens rand som et seil av skarlagen."
ABCDBC	"Men ikke en dråpe
kan trenge seg inn
og ikke en stjerne kan gjennom den tindre
denne hule av ild
som hvelver seg blind
for alt andet enn smertenes krig i dens indre."
ABCDBC	"Jeg vet det så vel
at sålenge jeg slik
ligger skjult for Guds åsyn er striden forgjeves.
Men jeg lukker min munn
og jeg kvæler mitt skrik
og forhærder meg i at det allting skal leves."
TABAB	"FØR SØVNEN
O, hvor søtt den sakte vind
dysser meg i slummer,
tørker tåren på min kinn,
slukker all min kummer."
ABAB	"Ingen larm fra veien mer,
ingen skritt på gruset
som om nattens stillhet sner
gjennom hele huset!"
ABAB	"Månelys og sakte sus
over eng og haver,
og en liten flittig mus
som i veggen graver."
ABCB	"Holder meg med selskap nå
som et siste minne
om den jord hvor jeg og du
graver som i blinde..."
TAABBCC	"PÅSKE
O trippende lyd gjennom fremmede gater,
hvem lever vel her og elsker og hater?
Jeg så den i dag denne flekke ved havet
i solskinn og løvsus og tanglukt begravet,
og det var som jeg stod på en villfremmed klode
og den dannet seg bratt som et syn i mitt hode."
ABCC	"Og nå ligger jeg her på en reise i rommet,
og det liv som jeg så er i søvnen forstummet.
Langt nedi et dyp som jeg ikke kan måle
ser jeg halvveis i drømme en gatelykt stråle."
AABB	"Og regndryppet striper dens trekk som en maske,
men bort kan det aldri i evighet vaske
av c od som livet har gravet
alt som hjemme i byen ved havet."
TABAB	"HAVBLIKK
Slike enkelte strofer
har jeg i drømme skapt.
Det er bare glimt av noe
virkeligheten har tapt."
ABAB	"Gyldne råp av stjerner,
lys fra kimmingens sjø,
ting som de evige fjerner
alt hadde tenkt å la dø.. ."
ABAB	"Kingelvevet står klart mot havet
midt i en naken nypetorn;
men borte på berget fylles lavet
og gråstenens groper med hvite korn."
ABAB	"Hvorfor besår du jorden med sne,
vårvind, og sprenger drømmen du vevet,
nå da vi just skulle våkne og se
havet gå blått gjennom kingelvevet?"
ABAB	"Det stod der og var nettopp så fredfullt som før,
jeg lenet meg inn til dets samme
og lyttet til det syngende vinddrag fra sør
det samme, i all evighet det samme!"
ABAC	"Der er så mange ting for et menneskegøye skjult,
her står jeg nå og grubler på en gåte
som kanskje ingen annen enn meg har forfulgt,
og som kanskje jeg i natt kunne råde..."
ABAB	"Litt søndenfor Trælsodden ligger der et skjær
hvis vesenstrekk jeg aldri kunne fange,
skjønt min fot har betrådt det i alle slags vær
og jeg løp der vel tusene gange."
ABABCDCD	"Men aldri var der reder, og aldri satt en fugl
og speidet fra dets blankslitte isse.
Det lå der i sin tross og lot brenningens hjul
forgjeves i fjellveggen risse,
ufølsomt for livet, i sannhet som en sten
sovende fra tidenes morgen,
et bilde på ensomhetens makt over en
som for alltid har hengitt seg til sorgen."
ABAB	"Hva var det for en død som jeg der hadde sett
triumfere over hele naturen?
Det grublet jeg på, mens jeg blunnede lett,
til jeg vektes av et oterpip fra uren ..."
ABAB	"Et eneste øyeblikk av hvile er nok
til atter å fylle oss med livet.
Mine sanser fløy opp som en søvndrukken flokk
av villender, oppskremt fra sivet."
ABAB	"Jeg skyndte meg etter og samlet dem igjen
på Stauperluens skumkledte varde,
som står der i sin ensomhet og advarer menn
lik en havdypets syngende barde."
ABAB	"Der danset nå en brenning som aldri går til ro,
det glitret, det brøt og det braket.
Det var som om avgrunnen overmodig lo
hvergang den reiste seg på flaket."
ABCB	"Jeg stirret i dens åsyn: O dyp, hvem er du
flodens og fullmånens fange,
eller kanskje det forstenende glimt jeg et nå
fikk av selve opprørets slange?"
ABAB	"Du stormfulle verden, hva er du for et speil
for en menneskesjel som stanser og stirrer,
mens han prøver sine krefter og måler sine feil
under stjerner hvis klarhet blott forvirrer!"
ABAB	"Her står jeg nå og føler det som jorden drev bort
lik en båt jeg har glemt å fortøye,
og vinden som bruser gjennom himmelhvelvets port
river meg med mot det høye."
ABAB	"Almektige Gud, kan vel øks eller sag
noensinne øde dine verker?
Du holder jo i hånden til den ytterste dag
ekeskoger, vårvind og lerker!"
ABAB	"Har jeg ikke sett dem de hellige trær
her i sin jordiske velde
så vet jeg dog visst jeg skal finne dem der
hvor øks ingen eker kan felle!"
TABCB	"TIL JOHANNE DYBWAD
Grå ligger Oslo bak skodden;
Bak dimmede, matte glass
flyter det store akvarium,
svømmer det norske parnass!"
ABCB	"Her glinser de evige flyndrer
rundt i sin vassgrå ring
og hilser hverandre med snuten
i blasse, langsomme sving."
ABCB	"Da lyner et lys ned i dypet,
en gnistrende sprøyt av ild!
Det glitrer av blånende bølger
er havet likevel til?"
ABCB	"Er ikke gråheten kunsten
akvariet verdens rom?
Men sjøen går blå derute
med solskinn og blest og skum!"
ABCB	"Hun er det lyset som tenner,
hun er den drømmen om hav.
Hun er det spillende nordlys
og solgullets bløte rav."
ABCB	"Hun er den blåsende latter,
demonenes blodrø vær,
men aller mest: flammen av ungdom,
det er det under hun er!"
ABCB	"Vi som er unge mot hende,
føler kanhende en kveld
anende: nå var vi unge
et stjerneskudd gjennom oss selv."
ABCB	"Men hun eier tusende stjerner,
et dryssende stjernegry,
som springer lik en fontene
fra sinnet, på ny og på ny!"
ABCB	"Grå ligger byen bak skodden.
Venner, hva venter vi på?
Gli inn i det store akvarium,
bli grå, bli avholdt og grå!"
ABCB	"Da skjærer et lys ned i dypet,
en stormende solgangsild,
som bruser i blest og bølger
at havet er til!"
TAABCCB	"FEMTE SANG
Langs veien fra Kvitnes og Hennes gård,
hvor markene bølger og skogene står,
der må man for næringen streve.
l Lonkan der grov man den vektige malm
hvor vinden nå feier i høstens halm,
mens ljåen med fjellslått må streve !"
