sent_a	sent_b	rhyme
Men tiden skiftet. Snart på ærens tinde	og store ånder gransket ditt geni.	0
må den i Guds rikes lade	Men skal frost og storm ei skade	1
og sitte i celle igjen.	Til gjengjeld tar man en sommer fra ham.	0
M og fletter løvet omkring narrestaven.	en klosset klingklang mellom Thules folk	0
går Paulus med sitt følge inn	da er det dem som om de hører	0
går søndensuset og den blanke strøm.	Og himlens skygger trær med lange ben	0
hvor hans følge utålmodig venter.	Vinden leker i de hvite seil.	0
i talens tanke-dønning vugger.	vi ser de bruker bakhold helst:	0
og sleper på garnenes dyngvåte vekt	som sprees og henges på tørken.	0
om lynet som i mulmet blinker,	se, derom ingen budskap bar.	0
Se dem alle — slappe, veke,	i den milde skumrings skjær,	0
Din sjel er anderledes sart og fin:	En sånn en boa som de andre har.	0
Han som skulle stormen tvinge,	Han som skulle svøpen svinge,	1
En grav er bedre enn alle slotter,	der har vi hjemme så små vi er.	0
husk at du sank i huldras arm	og jeg ditt hjertes varme slag!	0
De fattet og de fulgte ei	hans tankers hemmelige veg,	1
gå ut på den rullende slette !	til tanken forløst fra de jordiske bånd	0
ham hans venner snart i trygghet bringer.	til å velge skjulte stiers spor,	0
men den som vil vid're, får ta seg i vare!	Å, visste du bare!	1
en alle av mesterverker.	eller mosgrodd, grå av elde,	0
Knekk hver jordisk støttestav,	drep naturens sterke krav,	1
«Frykt dog ei	Vær frimodiglt Det er meg	1
betleren isine pjalter,	alle ett i samme ånd !	0
og drar avsted under sang og spill	den ene betatt av den annens eksempel;	0
der skinte langt mer enn gull.	En liten hue av farvet ull,	1
og ga den mitt blod å drikke.	For dø skulle den ikke	1
Men hans styrke er kun skinn	fylt av nidkjær, hellig vrede,	0
Herrens vilje var deg alt,	stråleglansen om din tinning	0
som ei den usleste vil slippe.	Han går, å banke på hans dør	0
stjernene svømmer	tør hun ei møte meg mer?	0
Dette dødens litani	klager, skjelver gjennom vrimlen,	0
om alle harper, hver seraf forgikk	og åndens gleder demrer for ditt blikk	1
rimektig, bronsefarvet, skinnende i solens brann,	Og som skipet sakte glider nærmere mot land,	1
Men redsel og gru — hvem ser de skride	forsiktig og lurende ved hans side?	1
som vidnet om alt hvorom jeg var i tvil	min lykke en hård melodi.	0
De holder her en grensepost.	de gjør at landet lever.	0
så stolt som på havet den svømmer.	og søkte på nordvei ved Rørvik mot land	0
Skipet venter. Paulus må ombord.	og dets stavn er rettet ut fra land,	0
som var hennes redsel og skrekk.	de bleke, stivnede trekk;	1
og nytendt ild i flagg og faner!	så ny og dog med duft av ahner	1
Vi kjender ham, vi elsker ham,	men hvem er vi?	0
skal med rot og trevl forsvinne.	hvert hans ord, hans verk, hans minne	1
er kvintessensen av de bitre drammer,	et par massive, rommelige rammer	1
den åndens karantene man vil sette.	skjønt Gud skal vite, taushet har det best	0
hva det har i sine skatte,	men som gladelig sitt gull	0
Hear først du bygget deg selv et feste,	skjønt barne-henders og kvinne-verk,	0
så forunderlig inne bak vesten et sted,	den kvelden du ikke kom hjem.	0
og den vinket sine menn!	steg vidunderblank igjen	1
Dets rot i moderjorden fast seg stiller,	at folkets åndsliv eier her to sider	0
Og ræven lo under birkerot	over lynget.	0
blot lyset som værver, blot sprøytet som sner,	blot havet som vandrer, blot havvindens sus,	0
øyet flakker rundt på markens stene	aldri tvettes disse hender rene.	1
det som stiger opp av det som dukkes,	lik et havdyp speilende det høye!	0
blusser av folkelarm.	glødende hornmusikk,	0
Rosenlund under Sagas hall	som gjemmer hellige minner,	0
Mett nå ditt øye	bør du akte nøye:	1
I disse egnes tause ro,	blandt disse stolte søylerader,	0
Min elskede, Sydvesten, ville ikke gi meg ro,	som på havet av årelang vane.	0
Der la han sitt hode over sitt kne	Men himlen var klar; ingen sky å se.	1
i sjelens tilstand og attrå;	her kunde noen mén ei være,	0
han delte av sin overflod.	for hver og én den åpen stod,	1
Stillhet over leiren ruger.	av og til et lynglimt sprenger	0
grov med ville hender ned i sandet,	flyttet stenene omkring i bukten	0
det var paradiskysten med båer og skjær	at alt dette fjerne som nå lå så nær	1
Og da lot han møllargutten bytte	til de underbare toners fall.	0
som av nære og hemlige makter !	De fanges på snorer og piner seg frem,	0
Nei, tro flytter ingen berge	være en rusten klinge?	0
Hvis Herren er Gud, så gå etter ham!	Hvis Baal er Gud, så gå etter ham!	1
og tok ham på skjødet og holdt ham favnet.	og gav så brudgommen sønnenavnet	1
Men menneskesjel, du er evig og fri,	gjennom støvet har ånden gått!	0
Men i skjul av grønne greiner	langs den samme kirkesti	0
Urlandet er det du ser for ditt blikk	slik det lå i deg selv før du skaptes	0
hva man kan gjøre på en liten kveld.	Et svare slit, javel, men moro var det!	0
om iver og styrke fra Ham,	til last og skam!	1
slynger seg i bløte linjer	av cypresser, palmer, pinjer,	1
Atter til de kjente steder	for sin dont å gjenoppta,	0
og kjenner hans dagers tall.	og reddes fra skam og fall.	1
De styrtet ut med bluss og med branner,	Da så de brudgommen opp seg manne;	0
Det har Paiulus ikke glemt.	Åndens rankhet den behøver	0
Jeg tenker når vi sammen rider planken	at av oss to er det deg som blir blek,	0
enskjønt han vil i hat sitt hjerte herde.	Snart knuses skal til støv hans styrkes skjold,	0
hvor det hete sandstøv tretter.	vandret først ad øde sletter	1
føler Simon garnets vekt,	under middagssolens stråler,	0
Gikk da ikke samme morgen	selv i fangens ledebånd?	0
De eier ikke engang denne plett	Så sant et ord.	0
om hjemmets gull på gammel vis,	der danset nå, med brann i øyet,	0
Profeten med forundring hører	og sinnet hårdt og bittert stemt.	0
og skimte dagen i vårt dunkle nord	la meg atter heve tåkens flor	1
kan ene fylle samfunnslivets revne.	som går som nerve i det store hele,	0
kom snart til kraft og sans igjen.	den elsktes blikk, så fromt og mildt,	0
Et havblikk foran stormens brus.	de drøfter her i stille stunder	0
med fargeklatter utenfor figuren.	Skal Norges storhet prises i naturen,	1
Som en drøm går ferden over vande	langs besungne, sagarike strande,	1
Først når skipets ankerkjetting synger,	ser og ser, til skipets seil forsvinner.	0
Ja, kupler smiler under sky —	du hører vel mitt hjertes glede?	0
Som tørrede strå	når Herrens rettferdighet brenner.	0
fordi hun er livets trell!	en strofe av livet selv.	1
li aftenens solglans, Korint.	Fra den myldrende havns labyrint	1
Og etter farten til de fjerne lande	er hjemmets bilder blitt oss mere klare —	0
men brudgommen ble over snøen ledet	Grim av dødskampen sammenkrummet	0
Skjønt vi er begge kristne menn,	så høyt, så dypt vi skilles, som	0
Ja, for her under kronene vrimlet det og krøp	havet mot de solbelyste strender!	0
villig, hvis det blir kalt på, å dø for en ukjent venn	menneskets stakkars hjerte som, fattig, ikke formår	0
Nå har den gamle lagt med glede	å løse alle jordens bånd.	0
hvor de mørke syner viker	til naturens stille riker,	1
ble folket betatt av den selsomme rus.	med presten i spissen til Jupiters tempel.	0
skinnende i solens lue,	smiler dronningen blandt steder:	0
jeg har tusene ting å fortelle	for bare under dagen å trelle.	1
Men det var der ingen som visste.	Hun gikk bak ved låven en kveld,	0
sitter han på markens sten,	stirrer, stirrer på den døde.	0
da skjønner han tydelig hva som er hendt !	Så dukes det hellige dødssakrament,	1
og styrer en milelang kurs for sin staur	mens gleden av hjertene synger !	0
Av askens frynser velder de opp	knuppenes glinsende bryster.	0
og taler sammen uten mange ord:	Ja, det er godt at være støv og jord.	1
Kongens tjener står forferdet.	den som lyder fremmed ordre.	0
som står der i sin ensomhet og advarer menn	Jeg skyndte meg etter og samlet dem igjen	1
med latter, drøm og smil fra venn til venn,	i milde hjerter under Englands himmel!	0
Andre tider var jeg havets svøpe,	store brenninger som ramte kysten	0
her bygget han rorbu med hjeller.	Den kongstanken skal som hans merkesten stå,	0
Erkjennelse. I voldens tid	som alltid ville vite mer.	0
Glansen av dag har alt begynt	at skille himlen fra jorden;	0
I dødens kolde, bleke drakt	den beste skatt, den siste rest	0
Skygger av de falne fedre,	der å vinke frem til vakt.	0
Nordenvinden sidder med sin isskodde hæl	Jeg likner deg, o klippekyst, du sover som min sjel	1
og hele folket går i lodne kyser,	og brystet selv i ulvepelsen gyser,	1
gikk skipene til ro og menn fra borde.	I havner og langs kyst på stålgrå fjorde	1
av disse ansikters forstumte vé!	og for all evighet formæle oss	0
Der Iå den og lyste blandt mørkegrå fjell,	der lå den og skinte i de silvåte hell	1
Men de danser snart alene.	stadens trollmenn lider nød.	0
Se ute på Bølandets solgylne pynt,	og diktet og gol og hermet.	0
bebuder dødens tordenslag,	Og om du speider, spør og ber	0
Ei flyktet han feigt om døden truet,	Jo tyngre tak, jo hetere strid,	0
«Jeg kan ei, Herre! Vredes ei	den usle drott i kne kan tvinge	0
Det var som den første glede	reiste en fryktens vegg	0
som ventet ham, visste han ei.	Hvor meget den unge	0
Det er nok. Den hele hop	Sådant avsinn uten grenser	0
og så på imperiets land,	som måtte bli satt under vann.	1
dets skjulte lengslers rop besvaret.	men dette sukk skal dog en gang	0
For hjemløse fugl med blødende bringe	flyter dets safter, modnes dets frukt,	0
vi tok i ed,	å bringe oss straks beskjed.»	1
Å gå for friheten i kampens larm —	Hvor skjønt! Men her kan kampen deg besjele	0
over svermen dommens hammer.	i hans unge, sterke bringe.	0
med kvitmåsen ytterst i form av et hjul,	mens inni står skarven og blunder.	0
og hører regnet på husets tak,	som nå igjen legger skogen strak.	1
Hva var det? En guds fiolin	snart jublet den herlig og kry!	0
sæterhytta stod forlatt,	og så tok han skreppa fatt.	1
og flykt fra støv og ørkenild	med skog og hav	0
Det blir fest!  Men se, en gullpil står og dirrer i din rute	For imorgen må skomakeren tilbake til sin lest.	0
til det jeg aldri har fullt forstått.	derut i endeløst himmelblått;	1
at tusen bøkers liv imot det bliver armt.	hvis tenkning han gav marg, og som finnes igjen	0
Dog, verden er stor og tiden kort.	Paulus føler han atter må bort.	1
Ser jeg syner midt på dagen?	Hva er dette?! — Redselsslagen	1
Går bølgen altfor vill og hvit,	er stormen full av gru?	0
og fjernt fra fjell kom dype svar.	som gny av kobber og av stål,	0
Bergets funker, sjøens ilder	veksler på den hvite ull.	0
og kan sin alder mot skyen bære.	og holdes i ære	1
Min dag er kommet.  Du alene	Min vilje nektet du å tjene,	1
Der, som før, går Jesus Krist	ser du dem, skal ganske visst	1
snart ad jevne sletter, snart som fange	dypt i trange kløfters skumle grav.	0
mens tåkesløret morgenrøden demper	og vindens susen går i granelunden,	0
Og videre så mælte hun:	«Husk, du er min fra denne stund,	1
din makt og kjærlighet er stor!»	og gjør på hennes kval en ende,	0
De følger ham så langt de kan.	Og samlet på den nøkne strand	1
slik en gru  i sjelegrunnen	atter gråter han i ve.	0
og bøyer seg dypt for de fattige fanger,	sin mesters tjenere — merket som han.	0
hver dag av morgengryet	hvor sært at du kan ligge her	0
O Herre, straff meg ikke i din harme,	Tukt meg til liv  i nåde deg forbarme,	1
Undren dog foruten like	helt fra Antiokia,	0
og fra lia kom det rot og stokk og grein,	Høyt fra uren rullet grus og kampestein,	1
i Spania; en landsens hest	den gikk en stund omkring på lur,	0
Her seilet man djervt og her fisket man rikt	om nordlandske vilkår og evner.	0
så får du få en boa av meg!	Ja, selv om jeg går skoa av meg	1
hans nidkjærhet for Herrens ære,	Hans iver for Guds bud og lære,	1
regnet ned i strømme bruser.	Baal er ikke lenger vred!	0
Som den av solens lys jeg tar	om lyset ikke blender,	0
som i dette trelleland	harmer ham den hele ætt;	0
da fordum du splittet syrernes leir?	Svar meg, kong Achab, hvem gav deg seir	1
Begeistringen stiger — mengden er vill,	den ene betatt av den annens eksempel;	0
som vrimler om klippen som fjun og fnokk,	så vide som synskretsen rekker !	0
som gjør til sin den falnes brøde	og villig er den minstes trell,	0
to ganger, ja tre  — men ennu stammer	han angstfull sin bønn i det ensomme kammer.	1
å give av sin egen ild,	å trykke av sin egen form	0
Men se, da kongens svenner kommer	en kraft som ingen kan forklare.	0
og sier, mens ordene kommer som stavet:	Vi får vist et drag av nord . ..	0
Når a Paula kom plystrende hjem klokken fem	var hverdagen slutt, og en sol danset frem	1
Bådene bugner av garn,	og tiljene glimter bestrødd med skjell og skarn	1
en harpelyd der brystet eier strenger.	et sekels livsstrøm banker i hans hjerte.	0
Hans hår er lyst som gyllen høvelspån	og luggen vilter, ingen oljesveis,	0
Imperiet er truet av pøbel og ramp?	det er Hans Majestet Proletaren!	0
Havet er moder til alt som er født,	derfor fikk det form av en tåre	0
av slektens ånd fra våre fedre.	med dragning mot et alltid bedre	1
Men bygge det gjør man da oppe i nord,	så tårnene tegnes mot klipper og fjord	1
Til deg, du gammeldagse, rare mann,	og i den hang	0
så har den beholdt sine viftende strå,	her skyter litt grønt gjennom fjorårets tang!	0
men dypt i sin fortapthet dukket den seg stiv	Det varte og det rakk, hver bølge var et liv,	1
jeg vil belyse saken med eksempler.	skal merke oss med utenlandske stempler	1
under bølgenes hvelv aåv blått.	bestandig langs disse brott,	1
Nypetornen i gjerdet	og havgapet milevidt.	0
«Jeg er Jesus av Nasaret, som du forfølger.	Å stampe mot brodden vil falle deg svart.»	0
Men inne i sjelens innerste indre	et spørsmål, født av den bitreste kvide,	0
Hva er det sagn som løvkranset går igjen	i hyrdens berge eller dalens skjød?	0
Så kald på døden når du vil hvile,	han kommer lett som en aftenvind.	0
der min vugge overskygget stod.	For hver kvalfull slummer,	0
i en månenatt og alle glemte	dypets klokker gir seg til å klemte	1
Og yngre slekter  som var ikke borte	når det gjaldt krigersk snitt, især i skjorte,	1
Hvorfor skulle vel en hyrde nøyes	på herskerstolen, landets trone.	0
Og rikt den grodde. Sæden bar frukt.	Iherdig de sådde sin vingede sæd	0
helt ensom i fjæren å vandre.	den slynger sitt slør ifra topp og til topp	0
Han sprengte tankens evne av skole-puggets bånd,	eller steg til en patos av edleste slags,	0
dikteres og fyrsters hjem,	hvit, i dunkle lunders brem,	1
da har det blåst i natt.	og dragsuget smøg og smatt.	1
Og tiden gikk. I Midians land	i sjelens bunn. Sin ungdoms sang	0
For borgerlig ro ble ham aldri forundt.	Men skadelig var det i grunnen.	0
ennu gikk han med sorgen og byrden og sukket.	Men nå i natt var det største hendt:	0
har neppe noen lyst å gå i rette.	Vi lar det hvile uten all protest.	0
«Ih, det er jøder! Sogar en prest !	Folk samler seg om dem, undres og stirrer:	0
til opprør og trolldom de folket forleder.	Og vi er dog romere! — Straff dem med døden!	0
gav det høye råd befaling,	å gripe ham	0
evig jagende i evig hvile,	alltid på et natteleie sikker.	0
ei sin ed, sin dronnings tro.	hvorfor engstes? Sine plikter	0
redslene dem alle rammer.	for den Gud som evig lever	0
stolt og smykket som til fest.	Kommet helt fra Orienten	0
i kampen med elde og død.	som aldri har sett til din nød.	1
til barndommens lek ved Cydnus's strand,	og blomstene grodde i hjemlandets muld,	0
i de lærdes bryst og hjerner,	mens om egen makt de verner.	1
hatets bitterhet ham lett	likegyldighetens klamme	0
Langsomt ble det aften, og regnet ble til mørke;	leidene hang ledige, kahyttene lå blinde.	0
Ei heller derfor hilser jeg	med sangens fane nettopp deg,	1
frimodig, glad og fro.	han får en veltjent ro,	1
som Peters kjære gjest.	en fredfull, stille fest,	1
Hans ansikt ble gråblekt og furet	som drømte om skogen ved gry	0
Jesabel sin husbond finner,	ei med gull og løfter klaret.	0
jeg legger mine lang-skip fra.	enn Harald levende,  og da	1
Det som hugen tenner og hjerte-troen får,	og trofast slår.	1
at malmen heises fra de dype gjemmer,	og dette tømmerdriften meget fremmer,	1
natten er en bunnløs kval.	uten lys i sorgens dal.	1
Men nå er det atter som himlen vil legge	meg opp til at vandre den halvglemte vei;	0
som sjelen i sin Gud fornam?	seg selv til evig last og skam;	1
O avsindig svermeri !	«Her er intet valg. Ti brøden	0
Hvem gav deg din kåpe av hermelin,	hvem førte din ære til fremmede lande?	0
Hit seiler man gjerne fra Røst i sin båt,	hvor klipper om Sandøya steiler !	0
der ingen behøver å kreve; men alle har noe å gi.	Hvem tør ta dem til inntekt? De dannet sitt eget parti	1
Dog var det bedre om det lå	mot fjerne hav og havne.	0
En himmeløy kan med sitt hildrende syn	hvor solilden kaster de sitrende lyn,	1
Men det som gir oss høve til å trette	det er tendensen i den norske blest,	0
Jeg er så glad over alle ting!	Hu-hei, gjør du slike svære spring	1
Ti jeg har svoret til mitt folk og sagt,	i fredens hegn og under Herrens vinger.	0
fred faller på mørklagte viker,	til oppladte drømmeriker.	1
Men ofte og skjult i en vik eller fjord	Der vrimler og lyser de vippende skrog,	0
de seirende skarer,	med rop og fanfarer,	1
gjøgleren i narreskrud	grubleren, med rynket hud 	1
fare hen i fred, som du har sagt;	frelsen ved din underfulle makt»	1
hvis fangst deg for umaken lønner!	Det er vårsild som fanges litt lenger mot syd,	0
før enn Snorre i Heimskringla malte!	Her var huder og skinn og et fiske i hav	0
er der latter og dans;	men siden vet jeg lite, om hun fletter sin krans.	1
risp dem litt  la pisken synge	villig sverge av sin tro,	0
aldri ditt vesen så hullt	Aldri var øyet så fullt,	1
mot fremmed hær og fremmed ånd,	som maktet Holbergs vidd å kvesse	0
dens arm skal minne om normanners velde	og da skal sagaboken atter melde	1
vår bekymring, våre kvaler 	Gud skje lov, det var ei ham.	0
Til Moses skrek folket: Vi krever en mann	som fører vår fot til hvile.	0
og engang som sang for den ganske jord.	runge som hærskrik for Roms legioner,	0
over larm og strid og vånde	vifter nattens milde ånde,	1
Og Hennes Høyhet sukker: Det er Lise.	og ikke kan jeg komme ut mer heller,	0
Med halsen så rett som et lys imot sky	de jodler og hilser hver morgen på ny	1
Henført hun flyktet fra trolldommens renker.	brøt i Guds kraft løgnens lenker.	1
på den hvite sanden,	dagen lang,	0
De første blomster på skjæret,	hvite som nyføgen sne,	0
gav du din glød. Frihetens ånd	ble til ditt åndedrag!	0
Liflig som sang er ham dagens besvær.	Filippi er blitt ham så såre kjær.	1
og rauter opp i det tomme.	mekrer geita mot himlen opp:	0
rabbinernes lov ved sitt hjerte han bar.	Guds vilje brente som ild i hans ben.	0
la tonene og fargene seg blande,	der nye syner oss i møte tindrer,	0
de kjempebluss fire, hvis strålebad	da tendes i templets haller	0
Med hender det stormen vil gi dem en stopp,	mens skroget til ripene skylles	0
Hans vei er min, til alles gavn.	Vit, jeg er villig til å lide,	0
før den med nye krefter luet:	Judeas sønner slumret ei.	0
men huldra drikker livets vell,	hun kan ei sykne, kan ei dø.	0
Dog — leiet ei skjenker ham søvn eller fred.	Han jeg forfulgte, han lever, han lever.	0
dit du lengtet tidt, til Rom.»	langt av lande enn min ære	0
med stivnet bryst bak tåkens flik.	Han måtte bort, han måtte ned	0
I takk profetens hjerte slår. 	«Jeg trodde før at der var lagt	0
I folkenes brogede vrimmel spredt,	blandt frafall og synd de dyrker Gud.	0
vår ungdoms sterke lengsler skjelver;	just nå, som ånden overalt,	0
Her ser du i blest bak det vimrende løv	Om enkelt og kluntet, mitt hjerte hvor rikt,	0
innover grunnene flyte	og bratt mot himlene bryte!	1
Og derfor på det kalde fjell	som i en søvn, med lukket sans.	0
Vend dine blikke	hva der står skrevet i himmel og jord?	0
i buesnor og bileskaft,	han temte der den arge ulv	0
Med grus og lyng lå vang ved vang	og raget over lyng og grus	0
Men helst skal du sitte en første-dags jul,	når stormkastet svinger om tårnet med ul,	1
Tåken samler sin not	Skyene velter forbi.	0
og slipper mot landet den stimende sild,	man hover i båten det flytende gull,	0
Som et haglslag over dale	tid på ham: Vi vil bli fri	0
den dalte stille ned,	et bud om kraft og fred.	1
ti der falt nok noen før,	der hvor han vil bryte dør.	1
Men det man ikke vant ved lykkens terning,	kan ene fylle samfunnslivets revne.	0
mot Horebs veldige, ville platå ?	Ebal og Garisim, Jesreels slette,	0
i sortmalte linjer: Guds fred med ditt støv!	når livet fortolker de skjønneste dikt	0
«Vær uten frykt i all din ferd.	skal ramme deg. Ti du er kåret,	0
Her er en hage med diverse planter.	og mens den stadig mellom blomster svever,	0
Hun strødde sin sne over fjellbratte li,	Hun knuste med stormhånd det nordhavs speil,	0
Søker hans skarpe tanke å råde	synenes mylder i skyggenes dal?	0
Det syntes som folkets tålmodighet brast.	som folket fylte tre ganger med vann,	0
Der lå en flekket mastetopp	men førend jeg fikk halt den opp	1
Det velter med blomster i blått og hvitt	på bakkens flammende hell	0
klart kan innse rådets rett.	å få selve rådets herre,	0
enn at utganger-smalen kan være.	at dens ullrull er svarlig å skjære.	1
Men den tidlige dagbrekkning lyser	med kroppen bævrende krum.	0
og drysse sin frukt i ditt skjød.	din mark skal bære deg brød.	1
den grove larm, de affekterte lader	å dekke under skrytende bravader	1
over eng og haver,	som i veggen graver.	1
Og Paulus selv om føye tid forstår	de få av flokken som er enn tilbake;	0
mellom dem. Og ingen tenker,	Og når solen neste gry	0
sitter han på markens sten,	Mørk, som knuget av en brøde,	0
der vår i snøen glemmer seg;	Hans sjel var blitt en fjelldal lik,	1
Hadet stikker som kleggen	stirrer på stuens liv.	0
Og da der ikke fins kloakk,	sitt kommunale renholdsverk	0
murte hver en kjempe trolig.	dvergeslekten ble urolig.	1
er alle deres guder til denne dag,	Ham, som vi alle skal elske og tjene.»	0
på Saul.  Jeg vilde slå ham ned,	men kunde ei. Min kraft var lammet,	0
En formiddag så jeg en stakkars kropp	Det var nok en vanlig hr. Dagligdagsen	0
all helligdom og kjærlighet og smerte.	og gir oss gavmildt mere enn vårt tarv.	0
til det menes at fangsten er inne.	Så fester du lina på spillet til strekk,	0
Kun dønningbrus som en overstått gru	og langt derute et brott som ennu	1
til den sultne verdensstat,	Skipet fører også mere:	0
Og er det blott en gatesprekk:	man lenges dit når man er vekk.	1
Den ene bak den andre tøyer	et minne sårt, en gammel skam	0
Vel pløyer han marken med plog og med hest,	Han er nok på marken så fri og så frank,	0
Ildprofeten står tilbake 	som skal Gud og Baal forene.	0
med broket krans om hornets grein,	en sølvskodd, kolsvart, rolig hest.	0
dine følelser edle 	landets dronning.	0
og siden ble jeg vugget i kneet	og høyvandet vokste i vår fjord,	0
Og humler stod tæt som en syngende sky	og vevet sin tone inn i luften;	0
for Danmarks folk hans trøst som en skinnende borg:	I lys av Guds fred stod i bitreste sorg	1
Da vil det sannes og bli åpenbart	matt i dens skiød og tror seg vel bevart.	1
fra havet og inn hvor den flatlandet når,	om du tenker forakte det sted hvor han bor	0
Han står med ren samvittighet.	Han står for Gud som allting vet.	1
Og på Gasas øde slette,	lydig under korsets tegn,	0
og legger for dagen, med ord og anger,	for fredens skyld til et annet land.	0
som på randen av sin grav.	Israel sin gullkalv kranser,	0
omkring i kaiens kulstøv med feberhede hender;	Det er hedens lumre timer, og himlene brenner,	1
Og så vil vi gå en dag eller to	til all vår uro er falt til ro	1
svermeren deroppe stå,	hva han bad og skrek i døden.	0
Ditt blikk var bestandig der ute	på det høye og evige hav;	0
Dens bark tør ingen rive og riste,	skjønt ljåen skal gjennom engen fare.	0
gråte du skal under angerens piner;	gjennom århundreders langsomme løp,	0
i klippenes huler han finner sitt leie.	De kjølige netter læger og lindrer,	0
Vokteren selv med undren stor	tidt hadde hørt de fremmedes ord.	1
Den sanne kraft bor kun i Norges klipper,	med stoffet norsk i sjelen og i drakten	0
at der må liv i denne døde form,	men og forstår med rolighet å temme	0
og ennå når min sjel som en vinterbunden kyst	ligger tåkefull og kold,	0
fremtidens dunkle, dragende gåde?	bever hans sjel for den kommende kval?	0
Og fangene lytter. For selsomt spill!	som kommer og sprenger fengslets tak.	0
fra ungdommens år en tapper soldat	han hadde vunnet sitt hjertes skatt,	1
Klart lød ditt ord. Hardt gikk du på.	må vi ha langt igjen.	0
men mor vil gråte ved mitt navn	men kunne lite si;	0
Muslinger besetter dem, og fiske går med bud	til ormene, som langsomt sin kropp i dyndet vrider	0
i all min iver jeg trodde å tjene.	Jeg kjente deg ikke. Guds vilje alene	1
med den fest han fikk i gang.	elva steg og lauvet sprang,	1
Barnabas, den modne venn,	taler Paulus: «La oss finne	0
så hadde De nok ganske glemt den tiden	vi drømte om å kjempe store slag.	0
Jesu moders sjelerot,	faller om ved korsets fot.	1
har ættens unge fulgt sin opprørstrang	Den nye kamp er nettopp nå igang	1
De vilde nok tro ham, såsant de kunde;	men akk, enn blør så mangen vunde.	1
i redsel og i nyvakt fryd.	Hans tjener er du, vis og sterk;	0
av urtids-storheter, ættens gamling.	I mine sanger	0
Beleiret av den store sol	Avmektig er vår metropol,	1
hopper en saltarell';	latter og morraspill,	0
fra intet til intet er støvets vei.	Mett oss med miskunn når morgenen kommer.	0
den lange dag av huldras gråt.	det gule lauv å stirre på.	0
og skjuler ved smiger sitt sorte hat.	hundrevis av sine like han skjuler,	0
hadde vi sett i en drøm hva du en gang skal bli,	Og da den lange, vanvittige natt var forbi,	1
mitt kjød er visnet, jeg er kold og stiv.	og mine fiender lurer på mitt liv.	1
og dem dere leder, med forsett dere blinder,	så ingen Himmeriks rike finner.	1
Jeg rører fordrømt ved tingene her,	Jeg synes jeg er som en duvende fjær	1
Mens de herjer skjærets sommer	lyngen falmer skittenbrun	0
opad strandens skråning breder	rikets lyst, Campagnens krone.	0
Jeg ber, la meg se dem én gang til,	siden jeg følger hvorhen du vil.»	1
Jeg levde mere enn jeg sang;	som ved min penn ble festet.	0
hatets bitterhet ham lett	Synes måskje kampens ild,	0
i bjørnebringer under kobberskjold.	og himlen selv med vinterskyer truer,	0
blot lyset som værver, blot sprøytet som sner,	blot åndenes gjerning i vårdagens hus!	0
og binde sfinksen med en åndfull gjetning	og holder fast ved den konkrete setning:	1
gransker neppe sagas dunkle trekk, —	stirrer over mot Kaystros munning,	0
Han var så trett og tung i hu.	Se der! Han sitter der ennu!	1
til en stormdag overskyet	springer ut igjen i morgengryet	1
Gud er min eneste lengsel.	løser han mildt av fengsel.	1
Det som er dagligdags,	som bringe kan beskjed.	0
hvis skjønnhet rabbinerens øyne ei tåler.	I lyshavets glans en fremmed stråler,	1
helt kan få kvalt alle rop alle skrik!	stive og grumme	0
Så falt hans ord  og moren bever	du går hans vei, du gjør hans verk.»	0
glir et skip for laber bris	over skipets rigg og rær	0
som bar når allting vilde glippe.	i ensomhetens lange år,	0
Som ørnen, som i kampens vær	av sverdets egg i livets slag,	0
og leker med vimpelen høyt på mast.	kruses av vindens friske kast.	1
Vel sitter her ennu en stund i vårt fjell	mens sæingen blir for bestandig.	0
tenne kampens ville brann?	som det er hans akt å felle?	0
Det store hav, de stolte fjelle	men ser han markens brente øde,	0
i sin Mesters spor å trede	bud de trenger. De er rede	1
medens deres unge Mester	by for by ved sjøen gjester.	1
med lyset fra soleigul strand	der sommerhavet vugger	0
Vi så dem ikke! Vi var altfor goe	for denne verden i vår kjærlighet.	0
der, hvor han modig som kjempen stod	ei langt fra den borg, hvor livet han gav,	0
skal dommens fortærende flammer brenne.	og i dens signende strålefjed 	0
Vi kjender ham, vi elsker ham,	i sorg og lengsel skal vi si:	0
for den ganske jords befolkning,	gjør den beste blind og døv.	0
som har syndet, skal på stand	skal der bøtes. Og den mann	1
der kunde han pløye til åker og dyr,	Der kunde han legge sitt nybrott, sin gård,	0
for løv i hver gyllen høst,	som kunne ha bragt meg trøst,	1
Der hvor de syngende, dansende svevet,	duftbølger fulgte det dansende kor,	0
Over de dødes rike står luften ukrenkelig ren.	og med vårt liv må vi huske: at slik er vårt fedreland.	0
især i det siste. De trenger seg inn.	der finner dere plass. dere er visst trette.	0
så grunnlagt igjen i nordvesten.	han stod der i varmen av hjertets blod	0
med stille beven mot Judea.	det stolte, skjønne Cæsarea.	1
Plogen og åket må tjene som brenne.	til avskjed fra alle,  fra hjem og fra alt.	0
Lyset har tapt i sin lydløse kamp,	dypt fra dens evighet stjernene luer,	0
Derved dog han kun forøker	deres jammers dype ve.	0
Og vinden duftet ikke røk og sot,	etsteds på jorden under åpen himmel!	0
jøden som en dødstung klage —	Onsdag i den krets av dage,	1
Men dette er vårt land. Her har vi hjemme.	Vi elsker gaten  ja vi elsker landet,	0
