sent_a	sent_b	rhyme
til møte ved Lenins grav.	Og radiotårnet har hundrede jern	0
Det varte og det rakk, hver bølge var et liv,	somom ingenting i verden var forandret!	0
fordi vi tok fremmede guder og glemte deg jord,	deilige jord under solbålets ildstråleflor!	1
Kanskje har de skiftet mening?	sitt humør.	0
det suste i nord og det bruste i syd,	fra alle de ukjente sfærer,	0
Men tenk så naturen med himmel og hav	Med svaner og solharper stemmer han an	0
der alle makter som med redsler truer,	og kraftens skygning blander seg deri,	0
dø skal sangen fra glade munner,	kun skjensel og hån dem daglig metter.	0
«Din fagre bygd er sovnet inn,	som risler gjennom sølv i fjell.	0
steg fra hans hjertes dypeste grunn	men svar eiet ingen i verden vide.	0
og blåste en slått på horn og på lur.	Da vandret de opp i den frie ur	1
til sikkerheten i et snevert bur	der intet sverd og ingen kule rammer,	0
i blomstens kalk, på markens strå,	mens solen strør sitt gull så vide	0
til jeg stod foran havet igjen.	de hadde fått øyne igjen.	1
Nypetornen i gjerdet	at den dekker det svarte skjæret	1
som et udyr på rov.	han lå i Østaskog	1
De har nok leilighet i hver en busk	som står og venter!  Er de ektefeller?	0
Han fødtes vel i stønn og skrik og blod	Og over eventyrets høye bro,	1
nei, det er umulig, er aldri hendt,	og nølende hu,	0
De slepes ut en dag med den sidste skjendtselslast,	I bunnens dynn og leire de råtne stavner lenkes,	0
Ja, dersom du anede slikt,	ditopp du står yndig og høy.	0
I lys av Guds fred stod i bitreste sorg	og tusen-foll forøkes, hva som enn ligger hen.	0
Velg den ene, tjen kun den !	Ingen kan som du oss hegne,	0
i deg er det evige forår blitt saft!	Du flamme fra jordklodens innerste ild,	0
Hva frykter han av disse prester?	mot ham som fordum mot hans mester,	1
Hans glødende iver, hans ukloke ferd	hadde kun hvesset tyrannens sverd.	1
lukker seg for nådens Gud.	for samvittighetens bud.	1
sin røde munn!	hun flettet, hun bød ham i ypperlig stund	1
det første skrik over været	og plutselig bryter våren	0
Bak skoger og snehvite vidder	Han kiempet vel slik som han skulle,	0
Der visste jeg en plett hvor det nå stod en dam	av månelys og skjalv på en bakke,	0
og storflokken styrter fra fjellveggen ned	de fjærede skarer som skygger det blå	0
så sval en lindring der du føler	ditt bryst i en begeistret stund,	0
Lys og mørke til en enhet blandet,	evig synke eller evig stige,	0
Du, den viseste blandt vise	ene D i g min sang skal prise.»	1
luer i dens strålevell.	Se for lysning på hans panne	0
hvor nå de røvede skatter	som i redet lå sammenføyd.	0
når hav og fjell og himmel slumret,	så ofte ord for hjertets stemme,	0
og plutselig bryter våren	øges den levende brann.	0
Av matstykket skjærer du reklingen av,	Hun fanges på lina med angel så stor,	0
med bukfinn og skjegg på sin hake.	og vil som en herrerett smake!	1
«Tror du han kommer Så faller hans ord	«Nærer du ennu den gamle tvil»	0
alt er saga  alt er dåd og minner.	Men den tause mann på skipets dekk	0
I takk profetens hjerte slår. 	i dine hender guddomsmakt,	0
«Fader! O forlat dem! Hør!	Ti de vet ei hva de gjør !»	1
Langt mot nord,	rank seg løfter.	0
en visnende urt, en blomst i eng	vi er liv av ditt liv — forkast oss ei	0
Og når Paulus fra den brede fjord	ser han, som en sky mot fjellets runding,	0
men verdens lokkemat var søt —	nå får jeg annet finne.	0
Den luftige krone og stormen blir ett	mot de snehvide, rullende skyer.	0
og når de roper på sin far,	der bor hun med de små,	0
Men intet av det var tilbake	for løv i hver gyllen høst,	0
Og det gjør intet om du synger med	ja lesk din hals ved dette kildested:	1
For en fordomsfri fortolkning	som et tett, forhekset spinn,	0
Hva meg møtte på reisen, hva jeg tenkte derved,	for å skildre hva jeg så på «studenter-fabrikken».	0
Og skjønt no folket stod med kranset hår	var dog dets tankegang konfus begrunnet,	0
er tomme ord og løyerlige saker	et listig smil fra politikkens draker	1
gjennom stadens skidne streder	medens tusen hese stemmer	0
synes sakens løsning funnet.	klare ligger Herrens planer.	0
«Ser du disse dype dale?»	vil for deg det småting være	0
Jeg kjenner deg. Du hadde aldri fred	som gjaldt det livet å få bedet ferdig.	0
Det vokse vil til ssorm førenn noen det vet av,	med torden i sin stemme over endeløst hav.	1
Med fart som de flyvende rickshawhjul	går kuliens tanker mot vest!	0
sol-røk i hallen av fosser og skodde,	Vikinge-ætt, jeg hilser deg selv!	0
Den påstand er luftig som bølgenes skum,	og dertil så lodden og endetil dum	1
når jorden skal vendes for plogmaktens jern,	og kornakset samle på gullet.	0
har min egen hårdhet tent.	som Jehova har forbannet	1
Og så lytter vi alle til ordets røst	som det beste den sørgende hører.	0
Legg hit til stranden og ta meg med,	og bruk så kreftene dine!»	0
hans tanker stadig rundt i ring,	Så kretser om den ene ting	1
så tet og gylden, så fast og ren,	en uttømt mening, en full forklaring!	0
i disse åser og skjær,	hvor intet kommer den nær.	1
«Dere krypende jøder! En slekt av slaver!	hvem førte din ære til fremmede lande?	0
som ligger utbredt over fjell og dal	av vatret perlemor og blek opal	1
hvor solen bare er ved tidlig gry	i denne trøstesløse, svarte by	1
mens døden langsomt tømte	en himmel av frossen fred	0
og hendene seg knyttet, som om dypt han seg skammet,	mot anfall på anfall, hans øyne de flammet,	1
rundt om hele kloden,	suget ned av ebben, løftet opp av floden	1
må prisen bare være blod.	hver dag ved uforsonlig tro.	1
hans ånd over jord seg svang;	som sverdhugg suste og sang.	1
Hvem hadde vel den Evige så kjær?	Han så hva ingen jordens sønn kan tåle.	0
Og til storm og lyn og torden	lød som krigsgny for mitt øre.	0
hindringenes steile bjerge	motløs, redd han bøyet av.	0
til å gro	og gir én blod.	1
i fredens hegn og under Herrens vinger.	Til landet hvor dets fedre først fant ro,	0
med askeskaftet spyd i hand,	hans bilde liknet like godt	0
i kvelden, som lyser blak.	som bleke kranier av lengst hensovede menn.	0
Og brosmen og langen de svømmer og nær	hvor så du på hjellen så herlig en fisk,	0
å se i Guds husholdning inn.	som slagget kan fra gullet skille.	0
Bølgene går derinne,	igjennom brottets tinde	1
og purpurgløden var underfull.	iallfall var silken brodert med gull	1
når med fryktsomt sinn han nu	håbets lys i Pauli hu,	1
og i naturens stille velde	en svaledrikk for tankens brann.	0
I det som gav fart ifra da og til nu,	de kommer og neier: Vår ære er din!	0
Da sverger han hest ved avgrunnens huler,	skal blodig jeg hevne mitt nederlag.	0
Og derpå ble den slynget fra topp og til topp	som grepet av usynlige hender	0
I natt har gleden forvisst gått vill.	murene vakler, gulvet slår revner.	0
De spinkle bjerker stod på tærne langs din vei,	og ham, din følgesvenn, den unge sommer.	0
Her må ingen svakhet lede,	hver en sten som skurken traff.	0
Tenk at det levende	Tenk at det stumme	0
og slå om stedet en kjærlig vakt	det ord jeg kom med til denne jord,	0
Døtre seg nærmet, en for en,	viftet ham luften uskyldsren,	1
Her ble åpning gjennom strømmens leie	for å ta det gode land i eie,	1
Med regnbuenebbet den peker omkring,	og nebbes i tukt og i ære.	0
nær det sted hvor fangen står,	taus og mild med blodig hår	1
hvis indre er lutret, hvis attrå er hel.	aldri dempes den hellige ild.	0
han skuer kraften, hører kampens brak;	hist slår lavinen skogens vern i kvak,	1
Nå er mitt hjerte en betler hernede,	til helt at beruses av jorddagens saft.	0
står jeg, som Herrens profet, alene.	Så- talte han atter: «Ved disse stene	1
Snart står Paulus så tilfreds	i en kristen broderkrets.	1
deres fryd til aske brenner,	og for deres skremte blikke	0
fyller de duftende søyleganger,	Ennu mens korets lystige sanger	1
der havet om kystene strømmer.	Den gyter i Golfen, men driver mot nord,	0
Så måker han dekket for nyfallen sne,	når jollen er festet til hampen.	0
fra dypet i havet som ruller så kaldt,	i finhamp med tre tommers masker.	0
Vi er som en drøm der om litt forgår,	som lengst er glemt når morgenen rinner.	0
Hans kropp er krøkt av lidelser og nød,	men sjelen blusser dog av livets lue.	0
øgine som rinner,	Innfalne kinner,	1
bølgene favnes i blinde,	hva gavner at alle kysser,	0
et andet liv derinne.	begjærlig og i blinde	1
som klippefast stod i den villeste storm.	O Gud, hva er dette? Stumme de står.	0
Jeg kom til at sitte på denne sten	for denne blomstrende nypegren	1
Den drømmer kanhende om alvor og dyst,	og luter sin stavn imot døden.	0
hellig stillhet har seg senket	over alle, hver især.	0
da tigern sprang og hesten slo;	men spentes i en bue.	0
Hun tok oss ved hånden og følge hun gav,	hvor fedrene ydmykt har bøyet kne,	0
jeg er helten aldri falt i krigen,	alt forlatende og alt forlatt,	0
men lyset ble en verdens lys,	da han igjen så hjemmets jord.	0
her er emne for mange slags virke.	Nyss viste de også hva ånd her stod bak	0
Alt liv vi ser har slitets menn	Men det de selv stod med igjen	1
fremad i norskhet og i glede:	På fredens ting, på krigens tilje	0
alt det liv som seg på dekket rørte,	og sier, mens ordene kommer som stavet:	0
Nok et lite knall til hesten.	det er Moskvais!	0
og stanser med hånden på klinken.	Det siste han ser, når av huset han går,	0
Ved drapet av deg kun sin makt de befester,	gjør bare sin ondskap dobbelt sterk.»	0
og dette til ytterste himmel-brynet.	den evige stillhet forstørrer synet.	1
og med seglstekken puttet i hullet.	med farger om ripen i drømmende fred	0
Dugg jord med gråt, strø aske i ditt hår,	La angrens beske ve ditt hjerte nage.	0
da det suste gjennom landet en «Wergelands-rid»!	dypt slagne av det store i kampen, da bar vi	1
går grense-vakt i sangens brus	Vår stammes ånd i evig sus	1
som sitter alene og ung i et ødslig og koldt hotell	i svimlende hvirvler, med hissig og huiende larm	0
Han hører et spørsmål, myndig, men mildt:	— Da gripes Saul av en hemmelig gru	0
Jeg knipser asken ned i skallens bunn	Jeg drømmer ved cigarens røk en stund...	1
Der ligger en hummer og fråder svakt	på den kulsorte klippevegg.	0
Simon snerrer.  Han er bange!	Nå må kvinnen jeg forakte,	0
Gudinnens berømte, strålende fester	er kun en samling av hylende prester;	1
Det larmer som der hadde ramlet ned en huggestabbe,	men Kalsen slipper fra det med en rift på høyre kinn!	0
Han hadde dem selv ved sitt eget bord.	hans hjertes begjær på leppen lå.	0
som den jeg også skrevet har	om lyset ikke blender,	0
og den vil rive meg i sund	kan savnet mates bort,	0
vil jeg dovne eller vil jeg hige,	fører jeg til himmel eller hel?	0
Hans følge ham ledet, fortumlet, forskrekket.	Til Damaskus han kom, blind og knekket.	1
så gaten får en selsom prakt!	skjønt byen har jo, gudskjetakk,	0
mens Gull-akslen gylles i fellen.	I vester står Måhornet rundsvervd og kvast,	0
Litli-litli-lu !	Ordene vil gå,	0
nattens gru var kun et minne.	himlen skinnet blank og blå,	0
Han står for Gud som allting vet.	er gjenskinn av hans hjertes tro.	0
(skjønt begge også norske menn)	i morgen må i kamp vi stå.	0
Med disse ord i skogen inn	Han står tilbake, taus, forlatt,	0
hvor de tunge, sørgmodige trær	står og tier når natten er nær.	1
Erkjennelse. I voldens tid	til fangeleiren, husk hans ånd,	0
aldri begynt og aldri omme.	med dette mareritt tre skritt fra meg i det tomme,	1
Dog var det bedre om det lå	som vrak på femti favne.	0
Men tyrannens svøpe lite frukter —	folkets kraft er seig og hård som stål.	0
sverger de hevn, og legger sin plan.	og kreve tilbake med renter hans ran.	1
skjønt hver av dem er kraftig som en hest.	har etterlatt en smitte, en slags pest,	1
rev henne bort fra hjem og slekt	løste Paulus i kraft av Guds ånd,	0
Jeg vet også noen som solgte	når herskeren la dem i bånd.	0
hva leppen ellers stammer når den sier:	En gunst av nuet, et elendig håp!	0
Men nå var det langt over Sanktehans,	Hun flettede modig, foruten stans,	1
og speidet fra dets blankslitte isse.	et bilde på ensomhetens makt over en	0
og tok ham på skjødet og holdt ham favnet.	og gav så brudgommen sønnenavnet	1
Den redde hare slo seg ned	til kirken i den ville skog.	0
og mastene fyller den vuggende våg	Der vrimler og lyser de vippende skrog,	1
folk tilfots og folk tilhest,	Og når nattens mulm beskytter	0
med dommen over deres eget hode.	skal komme hedningenes ætt tilgode.»	1
Men huldras hånd för ur til sist	han hørte hva hun sa til ham:	0
Fri du trådte valgets veie,	sterk du stod, hvor andre falt.	0
dens liv er evig bundet til trafikken;	men den er selvgod, hanseatisk stiv.	0
fjernt på en klippeskråning ned	og skinte med sin fulle prakt	0
da smelter snø, i bjørketopp,	og i et no, med ild, med makt,	0
av dekkede bord og av dyrt metall,	Det stod en glans i den festlige hall	1
Som et haglslag over dale	skal såvisst vi ikke spille	0
et slott for dem som er på fattigkassen,	et slott for lysredd og for solblindt kryp.	0
i de skjønne, stille dale;	aldri lød der sådant bud,	0
om hjembygdens kirke og gårder !	Når lengslen av hjertet mot hjemlandet flyr	0
det høye rop fra hedersmenn og stakler.	den store mengde næres ved mirakler,	1
hvor fossene stryker i dal og i fjell	en solgyllen tone i frelserens navn	0
Hans ildhu gløder i synenes glans,	tvinger hans tanker til grublen og tvil.	0
Den gjør én av mange, mange,	den gjør modig små og bange,	1
det klassisk-skjønne land som vi herjet så forbannet!	Sådan styrte han sin «horde», sådan gikk det gjennom landet,	1
under Jahves tiggerkår,	Å, nå kan jeg ånde fritt.	0
lokker den hjemløse hjemmets lyst?	Lister seg lengsler gjennom hans bryst,	1
Han går ifra rommet før varmen får tak	og skubber av jollen de isnende flak,	1
Kvinnen kan i sannhet være	av sitt smukke, kloke verk. 	0
Der styrtet ned litt månelys	så jeg fikk se en brending spys	1
Andre tider var jeg havets svøpe,	slynget fråden langt innover landet,	0
i den blir somren til!	Jeg velger meg april,	1
og skjenker David den til eie:	«kald er natten. Ta den på.	0
Så kom han tilbake en gang.	Men det var der ingen som visste.	0
sin kulde i strømvannets floder som går	og om vindrossen visper i sjøene vilt,	0
Da så de brudgommen opp seg manne;	no var han av vinterens luftning styrket.	0
spenner sverdet ei fra lend	Trygg han føler kampens spenning,	0
Av bønner som bedes, han hører kun dem	en flyktende skygge, et skjelvende løv.	0
Det var som en drøm og jeg følte det her,	at alt dette fjerne som nå lå så nær	1
tidt hadde hørt de fremmedes ord.	forsvant som barnets for morens smil.	0
et sagn som hører dalen til,	Jeg hadde hørt ved arnens ild	1
Elias har ventet. — Timen er nær!	Der kommer kongen — hissig og harm.	0
om straks du ei favner din skatt.	en sortere natt,	1
Kjære venners godhet tenner	håbets lys i Pauli hu,	0
der finnes ikke forskjell på oss to,	som nå er grodd fast i din klo.	1
med vann i hodet og med tre i armen.	et villhetssurrogat der man er tam,	0
som du en vinterkveld har sett	men vaskes ut i tidevann	0
med slik en makt i hjertet inn?	skjønt hedning, Herrens navn jeg kjenner;	0
enn sorg for en dag	av englen som nå stiger ned for at kjempe.	0
Nedad 4å ss os klippefulle skrenter	Vinden leker i de hvite seil.	0
Inn bærer Salome sin danselønn,	Da festen er endt.  Machærus's borg	0
— Da gripes Saul av en hemmelig gru	«Hellige Engel Hvem! Hvem er du?»	1
Før natten er endt må de stå	langt borte i Himmelens land,	0
I Juda det ryktes, at Refaims dal	er fylt av filisternes skarer.	0
Dine veier. Deres ånd	viljen hel, men vek og matt.	0
Og kjærest av alle våren,	Kongskollen stod som skåren	1
kastet seid på dens rot.	Uten glans og mot	1
Der ga jeg meg hen jeg en vinterens mann	I nypetornland og på slåpetornstrand	1
ei minste lyte var derinne	som englens, der Guds åsyn så,	0
Og brosmen og langen de svømmer og nær	så snehvit som flesket på svoren ?	0
Jeg frykter her at en og annen leser	«Man liker nok at nesten blir gitt neser,	1
nå sitter ingen brodd igjen.	ved Sauli hat en gang fordrevet;	0
På havet var jeg alltid den første,	etter hevn over trellenes stand.	0
«Ja, jeg tapte dem begge to.	ja, hver jeg hadde nært	0
støte skal på minste sten.	Intet skal deg gjøre men,	1
I stormen han trosser den værhårde fjord	en mil over havet dit doktoren bor,	1
med arnested på golvet	og med røykhull i tak.	0
Mens luften er sval i dagens gry	det frodigste gress han finner.	0
fra sjelens dyp et stille skrik.	det slukte blikk, de stive lemmer 	0
med kalker av dugget gull.	er duften av regnvåt muld.	1
og straks er verden redselsslagen:	Vårherre, hit med dommedagen!	1
her flettes intet bur av skogens grener.	La ånden våkne først blant klippens stener,	1
Jeg er villig. Jeg vil gå	viljeløs, når du befaler. 	0
der kratt på slekters graver gror,	ved det forglemte alterbord.	1
skal brenne ham i ryggen	men gråten sår og lav	0
en gang hans sjelevinger spent	til flukt mot åndens kongedømme.	0
Og allting er brygger mot et fjerne vi skal nå,	hvor lenge så reisen enn vil vare.	0
med støvets pest.	så kast din lest!	1
I trærnes kroner fuglene sover,	vinden hvisker i bladenes hang;	0
så solen i dypet seg speiler	da åpner seg pollen med vidformet plass,	0
regn, regn!	ropte skog og mark,	0
først når de dør, så får de eierett	som de bebor,	0
Men hvor lenge? Maktens menn	Alt for godt han kampen kjenner,	0
deg tungvint forbi oss og smilte	og kunde da utenlandsk: Oui  og: yes	0
blir varmen dog verre av brennvin og støyt,	og at hånden er villig og våken!	0
Og den mann er ei profet;	er en skjendig synderinne	0
Gjøglere, mager og trollmenn med ry	til dårenes fabler, til løgnernes pral.	0
sir konene i trappen, «ho! Der fikk 'n en i trynet!	det spruter gnister ta å som en smergelslipestein,	0
og solens siste stråle gled	hvor før et grålig mulm var lagt.	0
ÅAron ser med sorg i hu	styrter seg med lyst og iver	0
roper med hele sin stemmes makt:	alle forsamlet. Av redsel og glede	0
som i sanndruhet søker sitt like.	det er voksende krefter av folkets makt,	0
vilt med vind og vann.	i det harde sand	1
for Rom å nå foruten ro og rast.	Men denne gang ei noen broderskare	0
Det er tungsomt å bygge sitt land etter sikt,	som legger provinser til riket!	0
Kongens verk han skal befordre,	den som lyder fremmed ordre.	1
som trådte dem grusomt i støvet.	Jeg vet også noen, hvis hånd	0
Dette skal ha ende.	både du og dine svenne.»	1
om slekten vår: den går på ski!	Men intet folk og intet land	0
og legger sin glans over fjorden	Og her foran hullet i jorden	1
Fast han knuger sin sterke stav:	forvredent og vilt som et størknet hav.	1
så må dødens slag jeg smake,	båret er, vi vet ei hvor,	0
men andre ansikter er grå som muld;	og tanken flykter selv foruten stans	0
Dér sad også kranene om dokkens sorte kumme	og strakte sine skaldede gribbehalser krumme;	1
risp dem litt  la pisken synge	under straffens hvasse klo	0
Her klares dag for dag hans tanker;	her stenger ingen mørkets skranker	1
Båene brender med høye blaff	et sted som er ømt av lyst!	0
Men himlen var klar, og luften tørr.	Da reiste han seg — Gud hørte hans bønn.	0
Lykkelig den som tvilen ei gnaver»	Svar meg, kong Achab, hvem gav deg seir	0
hvor engenes gullblomster blunder.	her hviler om marken en fred uten lyd	0
hva værlag her dannes i mørke og natt,	du varslet og vernet den fiskende stand	0
Den ensomme kjemper. Hans sved som blod	Hans sjel forferdes.	0
og roper i kasser og trakter.	der tales og spilles i stue og hjem	0
det hese uværsskrik fra fjellets ravner,	hver gang sin egen kontrafei han favner,	1
snart er av alle han den største.	av hærens høvedsmenn de første,	1
og skyter sikkert, hogger djervt og kvast	et listig smil fra politikkens draker	0
Se dem alle — slappe, veke,	i den milde skumrings skjær,	0
skove-	og setter seg hen å love	1
Hans hår er lyst som gyllen høvelspån	og luggen vilter, ingen oljesveis,	0
Hva hadde han vunnet? Kun kjølige smil —	Hans glødende iver, hans ukloke ferd	0
Dertil er den nå så gammel,	vi har fått det kjært.	0
ut til landets siste grenser: 	en profet, en sannhets tolk. 	0
Poplers kroner skinner ovenover,	speiler seg i flodens blanke vover,	1
Skal Norges storhet prises i naturen,	jo mere vind dess bedre gjennom luren.	1
alt for å hindre apostlenes tale.	de truer og håner det hellige ord,	0
Da sverger han hest ved avgrunnens huler,	ved alt, hva helvete eier og skjuler:	1
på den ene kun han bier	i den store stillhet tier,	1
det lydløse kratt.	så stille, så forlatt	1
Og yngre slekter  som var ikke borte	de kom marsjerende med blikket tent	0
Se, hva kommer? Lyset svinner,	og en sky om bergets tinder	1
Vi tror ham ei  vårt ideal,	han råder for naturens luner,	0
Og vinden duftet ikke røk og sot,	etsteds på jorden under åpen himmel!	0
blomstrer som barnets på moderens skjød.	går mellom krykker og matter og bårer,	1
Jeg går til en vårblomst og ber om litt glede	nå vet jeg så godt hva jeg engang har haft.	0
om angstens grep ditt hjerte kryster,	dog flettes smukt i veven inn. 	0
en båt sattes ut for å hjelpe dem,	og brøt sin stavn!	0
overgir jeg nå min ånd» —	kraftig: «Fader, i din hånd	1
Hjerte, hvor er du fullt av nykker,	leker deg best med bråt og skår!	0
forgjeves i fjellveggen risse,	sovende fra tidenes morgen,	0
til å skrive dikt om månen,	sålenge den henger i blånen,	1
og mektige brusende lydbølger slog	milevidt ut innover landet.	0
grunner du vel på	Saga, som skal gå	1
Men slikt et rykte du har fått —	Du vil forgifte oss med teser.	0
Så frossen som stranden i frostrøken lå	her skyter litt grønt gjennom fjorårets tang!	0
Jeg svarte med et forsøk på en tale	vi fattigdommens kårne som må bale	1
for en voksen mann med ansvar, han må holde seg i tømme,	det får bli en sak for andre som har bedre lyst og tid,	0
Solen synker. Hav og fjell	skjønne syner langt av lande?	0
Og slektens synd naturen krenket.	dens rankeste pilar er krummet,	0
gikk ødet hvitt i det svarte gap,	mens månen stod høy og ren!	0
her like over det rene grus	av spindelvev, duft og vind,	0
Under dem i dype slukter	varmt og skjært på fjerne tinder.	0
Se græsset er vått,	men solen gjør godt,	1
Og de stirrer og de stunder,	og de venter dag og natt.	0
Vær hilset din skog imot viddenes sne,	ta imot disse sanger  så fjernt jeg kan se,	1
Og når solsommerkvelden har strøket sin rust	Så koker han kaffen og skjøtter sin tarv	0
reiste det snart sine buer mot sky 	av brokker og grus, av aske og kull,	0
Lov Herren, min sjel!	Min klippe, min festning, min redder og dommer,	1
Av tidens tåker lett hans øye hildes,	Så skriver Paulus. Sterke, ømme ord;	0
og som nå bryter inn	å belure mitt sinn	1
dypets klokker gir seg til å klemte	alt det vinden sang til alle tider,	0
Begå ei denne helligbrøde	at hallen skal stå framleis øde	1
var Værøyakirken med sitt krusifiks,	Mens Rode og Dreier med talløse ting	0
Storm og stille er for meg det samme,	være lys som brenner stille,	0
men herre, undre ikke på	i havs og natts og vinds	0
Og ankret faller. Glad i sinn	ad byens port.  Og alt blir fest	0
står de drivende stimer av fisker mot land,	for i strømvannets evjer å gyte.	0
så skal vi takke og prise ditt navn.	vis oss din vei gjennom mørke og savn.	1
Fra Tyrus fører veien dem	og stiger ad de steile veie	0
kaster et usikkert lysskjær inn	mellom havens trær. Hans øre fornemmer 	0
det er greier, det!	som en blomst ved bre,	1
Høyhet lyser på profetens panne 	lett han snor sin kappe til et rør,	0
Jeg kjenner forundret at det som er fast	og tungt og fortettet er gåten hernede,	0
Jeg er Benjamin blandt Ismaels sønner,	og spyle bort palasser og rønner,	1
og havets vinde gir seg til at spille	med mørke toner i de høye rigger.	0
Der sier skipet de farvel	og drar tilfots ad strand og fjell.	1
Det blendende lyshav sluktes bratt.	de søker for seg og sin herre ly.	0
helt ren alene er hjemmets luft.	Der møter bare det barne-sanne,	0
myndig gjennom sløvet bringe;	vekker hjertets tørst til liv,	0
Men sagnet har dog våket der	og båret det fra slekt til slekt.	0
ad øde daler, fjell og sletter	til Batanas stille egn	0
ei kunstens glitter, tankens fine spinn.	Hans lykke var sitt blod for andre øde;	0
Vi lar det hvile uten all protest.	det er tendensen i den norske blest,	1
og evig mate det forslukne kor.	det har den unge mor.	1
Måken har fått sitt sommermål,	og stæren er kommen i alle enger!	0
«Aldri mere jeg kan få ro.»	Lukk opp, lukk opp, jeg synker; jeg ser,	0
for å klandre hans ferd.	med brann og med sverd.	1
men han har vel g med sine strenger	gjort det stilt i laget mang en gang.	0
Hans hode er senket. Se, sorgen har preget	hans trekk. Han lyser av mildhet og ro.	0
Si fort, Nils skredder, hvor du ligge vil !	Tror du ikke, du slår noen mann omkull med kjeften.	0
ei plenen jeg pleiet å rake	Men intet av det var tilbake	1
alltid er jeg både mulm og flamme,	Aldri er jeg helt og fullt den samme,	1
til opprør og trolldom de folket forleder.	Pretorene dårlig sin uro dølger.	0
som ditt folks befrier feiret?	Var det ikke så? Du seiret	1
Herrens røst med livets varme	sorgtung hu mot lys og dag:	0
og stundom faller en fattig nøtt.	I den står vinden og rusker støtt	1
for åndens flukt mot lysets lande.	og svaler mildt hans hete panne.	1
Hans tanker, lengsler, som hans bønner	i alle år en fremmed mann.	0
Om en sommerdags kveld midt i havtåkens favn	så skal minnet stå fast midt i brottsjøens gys	0
Og satt tilhuse smerten enn og sorgen,	når solen rant den blide søndagsmorgen,	1
skal kreves til regnskap for tidens gru.	Du nedbrøt Guds alter, du sviktet ditt kall;	0
Et ildrødt skrik! Så falt fra jernets tenner	en blodig klump kanskje som før var hender.	1
en halvgal dåres bedrift  men på ny	et verdens vidunder av marmor og gull.	0
søk i le før vinden feier	som en blomst ved bre,	0
ei stanse hans pris i skapningens munn;	og spytte min gift i hans tjeneres sjele.	0
Og slotter, borger, gull og festers glede	skal for hans øye straks i glans fremtrede.	1
og fikk sin grøt og logret pent med halen;	Hva Norges manndom tapte under dvalen	1
Og Herren er med. Det grønnes og gror	og fikk så i enken Eunikes hjem	0
Vannet er dypt og bunnen glatt;	Herre, får han først i armen fatt,	1
ordet i blomst og i duft	bor i de evige ord:	0
Da er det morgen,	ingen morgen for meg.	0
Nå er den ganske jordisk blevet,	men elsker det som er så ringe.	0
som Jehova har forbannet	Bed for meg  og bed for landet	0
redslene dem alle rammer.	Bøy deg! Tilbed! Vi forgår!	0
da var det en fryd å stride.	selv stod han vakt ved min side.	1
Jeg har vært innestengt i berget lenge,	og trollet er så vemmelig og stygt så	0
og Hebreerne lytter og ser	forsvunnet er Faraos hær.	0
Opp all den ting som Gud har gjort.	Det minste han har skapt, er stort	1
Det bryter dypt og det bryter grunt	og maler stenene bittesmå.	0
i hat og strid den rike grøde?	Er Israels adelskap ei skrevet	0
O, at den lot seg fra ham rive,	Hvo kan den liflighet beskrive,	1
Det blendende lyshav sluktes bratt.	De spørger seg frem i den fremmede by,	0
Hva før kun syntes rov og ran	av skjebnens hånd i natt og tåker,	0
Kjente de skriftene, måtte de se:	forbannet er den som henger på tre.	1
han som forråder meg, se han er nær.	Våk og bed nå hver især,	1
de suger den hellige ildbølge opp	og vender mot sin hennes munn;	0
den seg fornyer	leven og snakken	0
fortapt og været hen i dunst.	Den golde glimmerstein var våt	0
med egne savn vil ene fremme 	sitt eget blod for slektens gjeld!	0
derfor kan ei frihetsropet vekke	det sunkne liv og skjenke ånden vinger	0
demper lystens ville brande,	retter viljens visne siv,	0
Med krok nr. syv kan du bare slå til,	og egne for natten med lodde og sild,	1
Reis derfor ingen tårne,	bygg ingen verdensby.	0
om mangt et livs-trett skritt de tusen mile,	Og nå dere setter dere til aften-hvile	1
en selsom sølvglans lyste opp	og mørke klippers lange rad	0
legger seg om syn og sinn,	som et tett, forhekset spinn,	1
men stakkars alle dem som ikke vet!	for denne verden i vår kjærlighet.	1
Kan hende den hvis flukt er lav,	kan flakse med en knekket vinge	0
I halvsøvne, duppende, hang han ved	Men skulket han, visste vi god beskjed	1
Hold ut, dere kjemper for flere!	Britannia har hersket så lenge på hav	0
Så stimler byens koner til,	forsamlet rundt om fiskekurven	0
Atter har hin usling listet	seg på deres grunn,	0
som driver på akkord	å kjøpe seg en Ford!	1
evig er sjøsprøyt og blinkende fjord,	Evig er tingene her på vår jord,	1
og dernest styrke seg ved håpets trøst.	da må man herde seg mot døgnets røst	1
verdenshjernens gnist og flamme,	verdenstreets rot og stamme,	1
dagen lang til aften silde.	Skaren lytter — grepet, stille,	1
førti menn med hånd og munn	om de nyter vin og føde	0
Men ingen får et sukk fra meg	som ingen holder av!	0
Og får vi fred en liten stund	i nattens ly,	0
Vel var dens klædning ikke villvinsranker,	En sotet gassbeholder, er den skjønn?	0
de står som en sky over øen,	og det hagler med skrik til du går.	0
Men en sommerdag seil for en sønnavinds bør	når fjellbekken glir som et brudeslør	1
en plass i sol for alle dem som lever her!	som gikk i oss, da vi ble stanset der.	1
er av Gud til verden givet!	Jeg, oppstandelsen og livet,	1
men aldri Jehova glemte sin pakt.	skulle lyse som solen til fjerne lande.	0
